School_name ,city ,zipcode,elementary_school,intermediate_school,middle_school,high_school,school_grade,title_i_status,total_students,african_american,african_american_percent,hispanic,hispanic_percent,native_american,native_american_percent,white,white_percent,multiple_race,multiple_race_percent,asian,asian_percent,pacific_islander,pacific_islander_percent,proficiency_pts,Grad_Rate_pts,Dropout_rate,CCRI_points,promotion_rate,No_of_students_adv_placement_course,Students_with_Chronic_Absenteeism,crime_rate,total_students_bullied,personnel_federal_expenditure,personnel_state_and_local_expenditure,non_personnel_federal_expenditure,non_personnel_state_and_local_expenditure,total_per_pupil_expenditure,awards_and_recognitions,academic_offerings,sports_facilities,music_facilities,after_school_opportunities,other_facilities,student_services,acad_focus_1,acad_focus_2,acad_focus_3,acad_focus_4,acad_focus_5
Academy with Community Partners,Mesa,85203,0,0,0,1,4,1,169,13,7.69,92,54.44,10,10.0,42,24.85,10,10.0,10,10.0,0,0.0,2.81,4.36,27.14,31.9,83.58,0.0,79.0,0.0,0.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,['Cognia Accreditation'],"['Foreign Language', 'Online courses']","['Basketball', 'Others', 'chevron_right', 'Flag Football', 'chevron_right', 'eSports']",['Art'],"['Athletic', 'chevron_right', 'Basketball', 'chevron_right', 'Flag Football', 'chevron_right', 'eSports', 'Games and Gaming', 'chevron_right', 'eSports (Smash Bros)']","['Dedicated Counselors', 'chevron_right', '1']","['Assistance with Material Needs', 'McKinney-Vento homeless student program', 'Parent/Family education and support', 'Family liaison']",1,1,1,1,1
Accelerated Learning Center,Phoenix,85028,0,0,0,1,5,0,153,10,10.0,27,17.65,10,10.0,111,72.55,10,10.0,0,0.0,0,0.0,5.36,9.78,4.07,35.0,79.5,0.0,171.0,0.0,0.0, 361.34, 7245.17, 47.33, 2374.60, 10028.44,['An Alternative High School Rated A by the Arizona Department of Education'],['No data available'],['No data available'],"['Art', 'Photography']",['No data available'],"['Art Room', 'Indoor air quality control']","['Assistance with Material Needs', 'McKinney-Vento homeless student program']",1,1,1,1,1
Agua Fria High School,Avondale,85323,0,0,0,1,4,1,1653,177,10.71,1185,71.69,10,10.0,201,12.16,39,2.36,31,1.88,10,10.0,13.62,10.0,2.97,16.5,98.69,597.0,781.0,48.0,6.0, 1015.26, 8781.97, 133.17, 884.04, 10814.43,"['$7.5 million in scholarships earned', 'AZ Arts Education Association Outstanding High School Art Teacher - Dana DeLuca', 'AFUHSD STEMCon 1st Place Winner and 1st Place Winner Arizona Science/Engineering Fair: AZ Hydrological Society Senior Division for Excellence in Hydrology/Environmental Science - Ulysses Altamirano', 'State Champions - Construction Technologies', 'Skills USA - Film & TV - 1st Place Regional/State Broadcast Production', 'Theatre Club - 2018 & 2019 Gold Honor Troupe', 'MaxPreps National Soccer Player of the Week (Week 6) - Zalma Torres', '1st Chair Regional Band - Isaac Davanzo (Tuba)', 'AFJROTC Distinguished Unit Award with Excellence', 'Teach for America Partner; Celebrant - 25 Years in Phoenix']","['Advanced Placement (AP)', 'AVID (Advancement Via Individual Determination)', 'Career and Technical Education (CTE)', 'Coding', 'Dual enrollment', 'Foreign Language', 'Gifted Program', 'Honors (Independent of IB/AP/Dual Enrollment)', 'Online courses', 'ROTC/JROTC', 'Others', 'chevron_right', 'West-MEC', 'chevron_right', 'ESS Autism, MOID, MIID, ED, and TSW programs', 'chevron_right', 'Unified Sports', 'Agua Fria High School offers Extended Opportunity Time (EOT) built into the school day. During this time, teachers are able to request specific students and students are able to self-select teachers to receive re-teaching and reassessment opportunities.']","['Badminton', 'Baseball', 'Basketball', 'Cross-Country', 'Football', 'Golf', 'Soccer', 'Softball', 'Spirit/Cheerleading', 'Swimming', 'Tennis', 'Track and Field', 'Volleyball', 'Wrestling', 'Others', 'chevron_right', 'Beach Volleyball', 'chevron_right', 'POM', 'chevron_right', 'Girls Flag Football']","['Art', 'Band', 'Ceramics/Sculpting', 'Choir', 'Dance', 'Music', 'Orchestra', 'Painting', 'Photography', 'Theater', 'Agua Fria High School participates in the district Fine Arts Showcase and hosts a campus showcase every year.']","['Academic', 'chevron_right', 'National Honor Society', 'chevron_right', 'Student Trainers', 'chevron_right', 'AP Biology Club', 'chevron_right', 'NASA Club', 'chevron_right', 'Chess Club', 'chevron_right', 'Journalism', 'chevron_right', 'Yearbook', 'chevron_right', 'Photo Club', 'chevron_right', 'Book Club', 'Arts', 'chevron_right', 'Drama Club', 'Career and Technical Education (CTE)', 'chevron_right', 'Skills USA - Construction, Film & TV, Law & Public Safety', 'chevron_right', 'HOSA - Sports Medicine', 'chevron_right', 'DECA - Marketing', 'chevron_right', 'Educators Rising - Early Childhood', 'chevron_right', 'FBLA - Coding', 'chevron_right', 'Digital Arts - Graphic Design', 'Community/Civic', 'chevron_right', 'Inter-Key Club', 'chevron_right', 'Student Council', 'chevron_right', 'Link Crew', 'chevron_right', 'SAGA', 'chevron_right', 'Black Student Union', 'ROTC/JROTC', 'chevron_right', 'Color Guard', 'chevron_right', 'Drill Team', 'chevron_right', 'Saber Team', 'chevron_right', 'Cyber Patriots', 'chevron_right', 'Academic Bowl', 'chevron_right', 'Stellar Explorers', 'chevron_right', 'Spirit Team', 'chevron_right', 'Service Opportunities', 'Tutoring and Mentoring', 'chevron_right', 'After School Tutoring - All classes', 'chevron_right', 'Writing Center', 'chevron_right', 'Library After Dark', 'chevron_right', 'Free ACT Princeton Review Sessions', 'chevron_right', 'Saturday School Study Sessions', 'chevron_right', 'AP Practice Tests', 'Others', 'chevron_right', 'ExceptionOwls - Unified Sports']","['Art Room', 'Auditorium', 'Book Store', 'Cafeteria (Onsite food service)', 'Certified Nurse (LNP/RN)', 'Dedicated Counselors', 'chevron_right', '5', 'Enhanced Security', 'First Aid Center/Health Center', 'Gymnasium', 'Indoor air quality control', 'Library', 'Makerspace (Creativity Lab)', 'Music Hall', 'Natural Lighting in 50% areas', 'School Resource Officer (SRO)', 'Science Lab', 'Sports Facilities', 'chevron_right', 'Gymnasiums', 'chevron_right', 'Track', 'chevron_right', 'Stadium', 'Technology Lab', 'Transportation']",['No data available'],1,1,1,1,1
Alhambra High School,Phoenix,85019,0,0,0,1,3,1,2283,235,10.29,1838,80.51,28,1.23,74,3.24,10,10.0,95,4.16,10,10.0,6.62,9.07,7.63,14.4,96.6,223.0,973.0,21.0,0.0, 750.23, 8190.89, 73.03, 183.81, 9197.96,"['Alhambra offers a unique Medical Arts CNA program along with a Sports Medicine program', 'Alhambra is and remains a high school where we provide interconnected 21st century education with diversity, innovation, and excellence', 'Alhambra holds an annual STEAM festival to highlight the great work being done by all the amazing STEAM courses offered on campus', 'Alhambra’s baseball program is among the best in the state, winning the 4A state championship in 2016 and reaching the 6A championship in 2021', '$8+ Million in scholarships for the Class of 2023']","['Advanced Placement (AP)', 'AVID (Advancement Via Individual Determination)', 'Career and Technical Education (CTE)', 'Dual enrollment', 'Foreign Language', 'Gifted Program', 'Honors (Independent of IB/AP/Dual Enrollment)', 'ROTC/JROTC', 'AHS offers a comprehensive range of academic programs to meet the diverse needs of our students. In addition to traditional honors, AP, and dual enrollment courses, we are proud to provide culturally relevant courses that are taught from a variety of perspectives. These courses are designed to not only challenge and engage students academically but also to broaden their understanding of different cultures and viewpoints. By offering such diverse and inclusive academic opportunities, we aim to foster a learning environment that is both rigorous and enriching. Our commitment to providing a robust academic experience reflects our dedication to preparing students for success in an increasingly interconnected and globalized world.']","['Badminton', 'Baseball', 'Basketball', 'Cross-Country', 'Football', 'Golf', 'Soccer', 'Softball', 'Spirit/Cheerleading', 'Swimming', 'Tennis', 'Track and Field', 'Volleyball', 'Wrestling', ""Alhambra High School has consistently excelled in multiple sports, with a strong presence in state playoffs and regional championship games year after year. Our baseball team's outstanding performance has earned them the title of State Champions, showcasing their ongoing commitment to excellence. Each year, we proudly host the NABI tournament, providing a platform for over one thousand athletes to showcase their skills. Our school takes great pride in our top-notch facilities, including a multi-million dollar turf football field and state-of-the-art scoreboards and press box generously donated by the Diamondbacks. These facilities not only enhance the experience for our athletes and spectators but also demonstrate the support and investment from our community and partners.""]","['Art', 'Band', 'Ceramics/Sculpting', 'Choir', 'Dance', 'Music', 'Orchestra', 'Painting', 'Photography', 'Theater', 'Alhambra students actively engages in a wide array of local and national events showcasing their musical and artistic talents. Recently, our thespian performers demonstrated their exceptional skills and dedication, resulting in the prestigious Silver Honor Troupe award bestowed upon them by Arizona Thespians. This recognition not only highlights the remarkable abilities of our talented members but also underscores our commitment to excellence in the performing arts. We are proud to have our Lions participate in such esteemed events, and we look forward to continuing to support and nurture their artistic endeavors. This achievement serves as a testament to the hard work and passion exhibited by our performers, and we are dedicated to providing them with opportunities to further develop and showcase their talents on both local and national platforms.']","['Academic', 'chevron_right', 'AVID Club/University Club', 'chevron_right', 'National Honor Society Club', 'chevron_right', 'Academic Decathlon', 'chevron_right', 'Gifted', 'Arts', 'chevron_right', 'Theater', 'chevron_right', 'Anime', 'chevron_right', 'Choir', 'Athletic', 'chevron_right', 'Weightlifting', 'Business Interest', 'chevron_right', 'DECA', 'Career and Technical Education (CTE)', 'chevron_right', 'Early Childhood Club (ECE)', 'chevron_right', 'Culinary Brigade (Foods club)', 'chevron_right', 'HOSA', 'Career Focus', 'chevron_right', 'Future Business Leaders of America (FBLA)', 'chevron_right', 'Future Educators of Arizona', 'chevron_right', 'KLYN – Announcements', 'chevron_right', 'Fashion Club', 'Community/Civic', 'chevron_right', 'M.E.Ch. A.', 'chevron_right', 'Be a Leader', 'chevron_right', 'Native American Youth Council', 'chevron_right', 'Student Government (STUGO)', 'chevron_right', 'BSU', 'Games and Gaming', 'chevron_right', 'esports', 'ROTC/JROTC', 'chevron_right', 'Army JROTC']","['Art Room', 'Auditorium', 'Book Store', 'Cafeteria (Onsite food service)', 'Certified Nurse (LNP/RN)', 'Dedicated Counselors', 'chevron_right', '7', 'Enhanced Security', 'First Aid Center/Health Center', 'Gymnasium', 'Indoor air quality control', 'Library', 'Music Hall', 'Science Lab', 'Sports Facilities', 'chevron_right', 'Turf Football FIeld', 'chevron_right', 'Soccer Field', 'chevron_right', 'Baseball/Softball', 'Technology Lab', ""In addition to our extensive sporting facilities, we are proud to offer a dedicated building for our Freshmen House, providing a supportive and engaging environment for our new students. Furthermore, we have allocated specific spaces equipped with content-specific equipment to cater to the needs of our Medical Arts programs. This ensures that our students have access to the resources and facilities necessary to excel in their chosen field of study. We are committed to providing a well-rounded educational experience, and these specialized facilities are just one example of our dedication to supporting our students' academic and extracurricular pursuits.""]","['Dedicated School Counselor', 'chevron_right', '7', 'Dedicated School Social Worker', 'chevron_right', '2', 'Mental health services', 'Mental health screenings', 'Individual counseling', 'Small group counseling', 'Health Services (i.e. School-based Health Center)', 'Dedicated Registered Nurse (RN)', 'chevron_right', '1', 'Assistance with Material Needs', 'McKinney-Vento homeless student program', 'Clothing/shoe closet', 'Food pantry', 'Designated individual to refer to community supports', 'Immigrant Services', 'Refugee services', 'Migrant Education Program', 'Parent/Family education and support', 'Family liaison', 'Partner Mental Health Agencies', 'List', 'chevron_right', 'New Pathways for Youth', 'chevron_right', 'International Rescue Committee', 'chevron_right', 'Teen Lifeline', 'Partner Community Organizations', 'List', 'chevron_right', 'Elevate Ed', 'chevron_right', 'Department of Economic Security (Vocational Rehab)', 'chevron_right', 'Homeless Youth Connection', ""Alhambra is dedicated to providing comprehensive support for students and their families. At Alhambra, we believe that by addressing all aspects of a student's life, we can empower them to thrive academically, socially, and personally. Our dedication to holistic support emphasizes our commitment to nurturing the success and well-being of our entire school community.""]",1,1,1,1,1
Apollo High School,Glendale,85302,0,0,0,1,4,1,2198,176,8.01,1582,71.97,10,10.0,268,12.19,58,2.64,88,4.0,10,10.0,15.94,10.0,0.67,20.0,98.75,256.0,847.0,47.0,0.0, 1084.03, 7182.71, 175.34, 783.21, 9225.29,"['Apollo was awarded an ""A"" School Letter Grade by the Arizona Department of Education', 'Apollo is ranked nationally by U.S. News and World Report for Best High Schools']","['Advanced Placement (AP)', 'Career and Technical Education (CTE)', 'Dual enrollment', 'Foreign Language', 'Gifted Program', 'Honors (Independent of IB/AP/Dual Enrollment)', 'Online courses', 'Preschool', 'ROTC/JROTC']","['Badminton', 'Baseball', 'Basketball', 'Cross-Country', 'Football', 'Golf', 'Soccer', 'Softball', 'Spirit/Cheerleading', 'Swimming', 'Tennis', 'Track and Field', 'Volleyball', 'Wrestling', 'Others', 'chevron_right', 'Chess', 'chevron_right', 'E-Sports', 'chevron_right', 'Academic Decathlon']","['Art', 'Band', 'Ceramics/Sculpting', 'Choir', 'Dance', 'Music', 'Orchestra', 'Photography', 'Theater']","['Academic', 'chevron_right', 'World Language Clubs', 'chevron_right', 'Math Club', 'chevron_right', 'Science Club', 'chevron_right', 'History Club', 'chevron_right', 'National Honor Society', 'chevron_right', 'Speech and Debate', 'Arts', 'chevron_right', 'Dance', 'chevron_right', 'Art', 'chevron_right', 'Thespian', 'chevron_right', 'Vocal Ensemble', 'Athletic', 'chevron_right', 'Special Olympics', 'chevron_right', 'See list of sports', 'Career and Technical Education (CTE)', 'chevron_right', 'DECA', 'chevron_right', 'FCCLA', 'chevron_right', 'SkillsUSA', 'Community/Civic', 'chevron_right', 'Link Crew', 'chevron_right', 'Interact', 'Elementary After School Care and Programs', 'chevron_right', 'COOP Program', 'Games and Gaming', 'chevron_right', ""Gamer's Club E-Sports"", 'ROTC/JROTC', 'chevron_right', 'NJROTC', 'Speech and Debate', 'chevron_right', 'Speech', 'Tutoring and Mentoring', 'chevron_right', 'Hawk Center']","['Art Room', 'Auditorium', 'Book Store', 'Cafeteria (Onsite food service)', 'Certified Nurse (LNP/RN)', 'Dedicated Counselors', 'chevron_right', '5', 'Early Education Activity/Sensory Room', 'First Aid Center/Health Center', 'Gymnasium', 'Library', 'Music Hall', 'School Resource Officer (SRO)', 'Science Lab', 'Sports Facilities', 'chevron_right', 'Football', 'chevron_right', 'Track and Field', 'chevron_right', 'Soccer', 'chevron_right', 'Swim', 'chevron_right', 'Multipurpose', 'chevron_right', 'Baseball', 'chevron_right', 'Softball', 'chevron_right', 'Tennis', 'chevron_right', 'Racketball', 'chevron_right', 'Gyms', 'Technology Lab', 'Transportation']",['No data available'],0,0,0,0,0
Arcadia High School,Phoenix,85018,0,0,0,1,5,0,1603,76,4.74,582,36.31,10,10.0,841,52.46,34,2.12,36,2.25,10,10.0,23.09,10.0,1.54,19.8,98.46,329.0,457.0,34.0,0.0, 109.52, 5821.24, 121.39, 487.77, 6539.92,['No data available'],['No data available'],['No data available'],['No data available'],['No data available'],['No data available'],['No data available'],0,0,0,0,0
Arizona Agribusiness & Equine Center - Estrella,Avondale,85007,0,0,0,1,5,1,412,10,10.0,209,50.73,10,10.0,138,33.49,22,5.34,25,6.07,0,0.0,26.36,10.0,0.22,20.0,99.75,0.0,66.0,0.0,0.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,"['Rated an ""A+"" by The School Review', 'Had two Flinn Scholars in 2019. First time in 20 years a school had two finalists', 'Cognia Accredited', 'Rated an ""A"" School by the Arizona Department of Education', 'FFA - Rated a Gold chapter in the state of Arizona']","['Career and Technical Education (CTE)', 'Dual enrollment', 'Foreign Language', 'Honors (Independent of IB/AP/Dual Enrollment)', 'Online courses', 'Others', 'chevron_right', 'Engineering', 'chevron_right', 'National Security', 'chevron_right', 'History of Pop Culture', '30% of AAEC - Estrella Mountain students earn an Associates degree a week before graduating high school. AAEC EM also offers: a 4 year vet science program, a two year engineering program, CTE courses and internship opportunities, Agriculture and Equine Science classes, a pharmacy class, journalism, and creative writing.']",['No data available'],"['Art', 'Cultural Arts', 'Music', 'Photography', ""Students are able to take their Fine art courses at the community college (at AAEC's expense) and receive high school and college credit.""]","['Academic', 'chevron_right', 'National Honor Society', 'chevron_right', 'Journalism', 'Arts', 'chevron_right', 'Drama Club', 'Career and Technical Education (CTE)', 'chevron_right', 'FFA', 'Career Focus', 'chevron_right', 'Aerospace Engineering Club', 'chevron_right', 'Medical and Science Club', 'Community/Civic', 'chevron_right', 'Student Government', 'Others', 'chevron_right', 'Prom Committee']","['Art Room', 'Book Store', 'Cafeteria (Onsite food service)', 'Library', 'Science Lab', 'Technology Lab', 'Students have access to all facilities at Estrella Mountain Community College.']",['No data available'],1,1,1,1,1
Arizona Charter Academy,Surprise,85374,1,1,1,0,5,1,978,91,9.3,664,67.89,0,0.0,167,17.08,47,4.81,10,10.0,10,10.0,18.13,8.84,0.0,20.1,99.69,0.0,302.0,0.0,0.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,"['A+ School of Excellence Designation', ""AZ Central's Top Companies to Work for in Arizona 2023, 2022, 2021,2020, 2019, 2018, 2017, 2016"", '2019 Middle School Flag Football and Boys Basketball State Champions', ""Arizona's Most Admired Companies, 2021,2020,2019, 2017, 2016, 2015"", 'Excellence in Civics Award', 'School Choice Leadership Award', 'Transformational Leader of the Year - Arizona Charter Schools Association', 'Business Leader of the Year - Arizona Charter Schools Association', 'Multiple student art award winners - City of El Mirage, City of Surprise', 'Odyssey of the Mind Competition Winner']","['Coding', 'Full-day Kindergarten']","['Baseball', 'Basketball', 'Cross-Country', 'Football', 'Soccer', 'Softball', 'Spirit/Cheerleading', 'Volleyball']","['Art', 'Ceramics/Sculpting', 'Choir', 'Painting', 'Photography', 'Theater']","['Academic', 'Athletic', 'Community/Civic', 'Elementary After School Care and Programs', 'Tutoring and Mentoring', 'Others', 'chevron_right', 'Middle School News Club and Middle School Student Council']","['Art Room', 'Auditorium', 'Cafeteria (Onsite food service)', 'Dedicated Counselors', 'chevron_right', '1', 'Early Education Activity/Sensory Room', 'Enhanced Security', 'First Aid Center/Health Center', 'Garden', 'Gymnasium', 'Indoor air quality control', 'Kindergarten Playground', 'Library', 'Natural Lighting in 50% areas', 'Science Lab', 'Sports Facilities', 'Technology Lab']","['Dedicated School Counselor', 'chevron_right', '1', 'Mental health services', 'Mental health screenings', 'Individual counseling', 'Family counseling', 'Small group counseling', 'Health Services (i.e. School-based Health Center)', 'Health aide only', 'Assistance with Material Needs', 'McKinney-Vento homeless student program', 'Designated individual to refer to community supports', 'Partner Mental Health Agencies', 'List', 'chevron_right', 'Open Hearts', 'chevron_right', 'New Hope', 'chevron_right', 'NotMiKid', 'Partner Community Organizations', 'List', 'chevron_right', 'Sun City Elks', 'chevron_right', 'Northwest Valley YMCA', 'chevron_right', 'Benevilla']",0,0,0,0,0
Arizona Collegiate High School,Phoenix,85017,0,0,0,1,4,1,117,10,10.0,105,89.74,10,10.0,0,0.0,0,0.0,0,0.0,10,10.0,0.29,6.91,20.93,35.0,77.86,0.0,180.0,10.0,0.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,"['AdvancED Accredited High School', 'AdvancED NCA CASI Accreditation and College Acceptance. ... This means that credentials issued by regionally accredited high schools, are widely accepted by colleges and universities in the US and Internationally.']","['Online courses', 'Others', 'chevron_right', 'Credit Recovery Program', 'chevron_right', 'Access to modern technology', 'chevron_right', 'Highly qualified teachers']","['Basketball', 'Soccer', 'Volleyball', 'Others', 'chevron_right', 'Co-ed Soccer', 'Girls Volleyball']",['Music'],"['Others', 'chevron_right', 'Free transportation (monthly city bus passes) for qualifying students']","['Music Hall', 'Science Lab', 'Transportation', 'State of the art campus']",['No data available'],0,0,0,0,0
Arizona Connections Academy,Gilbert,85297,1,1,1,1,4,1,2568,199,7.75,834,32.48,87,3.39,1179,45.91,226,8.8,29,1.13,14,0.55,12.69,7.98,13.63,6.4,99.38,67.0,0.0,0.0,0.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,['No data available'],"['Advanced Placement (AP)', 'Career and Technical Education (CTE)', 'Foreign Language', 'Gifted Program', 'Honors (Independent of IB/AP/Dual Enrollment)', 'Online courses', 'Others', 'Concurrent College Enrollment']","['As an online school, while we do not offer any sports, our students can and do participate in Club sports at a high level!']","['Art', 'Music', 'Photography', 'Art History']","['Academic', 'chevron_right', ""National Honor Society, Author's Corner, The Monitor (news blog), Science Sleuths"", 'Arts', 'chevron_right', 'Art Club, Arts and Crafts Club, Drama Club', 'Business Interest', 'Career and Technical Education (CTE)', 'chevron_right', 'Robotics Club', 'Career Focus', 'Community/Civic', 'chevron_right', 'Leadership Club, Student Council', 'Games and Gaming', 'chevron_right', 'Chess Club, ESports Club, Gaming & Technology Club', 'Speech and Debate', 'chevron_right', 'Debate Club', 'Tutoring and Mentoring', 'chevron_right', 'Peer tutoring, Reading Buddies']",['No data available'],"['Dedicated School Counselor', 'chevron_right', '5', 'Assistance with Material Needs', 'McKinney-Vento homeless student program', 'Designated individual to refer to community supports']",1,1,1,0,1
