School_name ,school_type,city ,zipcode,class_range, total_students ,student_teacher_ratio, nat_rank ,az_rank,female_students,female_students_percent,district_female_students,district_female_students_percent,male_students,male_students_percent,district_male_students,district_male_students_percent,white_students,white_students_percent,district_white_students,district_white_students_percent,hispanic_students,hispanic_students_percent,district_hispanic_students,district_hispanic_students_percent,asian_students,asian_students_percent,district_asian_students,district_asian_students_percent,two_or_moreR_students,two_or_moreR_students_percent,district_two_or_moreR_students,district_two_or_moreR_students_percent,black,black_percent,district_black,district_black_percent,pacific_islander,pacific_islander_percent,district_pacific_islander,district_pacific_islander_percent,american_indian,american_indian_percent,district_american_indian,district_american_indian_percent,lunch_assist_not_eligible,lunch_assist_not_eligible_percent,district_lunch_assist_not_eligible,district_lunch_assist_not_eligible_percent,lunch_assist_red_price,lunch_assist_red_price_percent,district_lunch_assist_red_price,district_lunch_assist_red_price_percent,lunch_assist_free,lunch_assist_free_percent,district_lunch_assist_free,district_lunch_assist_free_percent,nearby_schools_dict
Boulder Creek High School,Public,Anthem,85086,09 - 12,"2,576",25:1,"565th out of 26,089",23rd out of 659,"1,366",53%,"6,824",51%,"1,210",47%,"6,530",49%,"2,103",82%,"9,254",69%,280,11%,"2,547",19%,80,3%,384,3%,57,2%,496,4%,43,2%,518,4%,9,0%,41,0%,4,0%,114,1%,"2,243",(87%),"9,929",74%,255,(10%),"2,700",20%,78,(3%),725,5%,"{""Sandra Day O'Connor High School"": '10 miles', 'Cactus Shadows High School': '12 miles', 'Mountain Ridge High School': '12 miles', 'Hillcrest Middle School': '12 miles', 'Deer Valley Middle School': '12 miles', 'Barry Goldwater High School': '13 miles', 'Mountain Trail Middle School': '13 miles', 'Arrowhead Christian Academy': '14 miles', 'Sonoran Trails Middle School': '14 miles', 'Vista Peak': '14 miles'}"
Great Hearts Academies - Anthem Prep,Public,Anthem,85086,KG - 12,769,-1:1,"7,645th out of 26,089",152nd out of 659,385,50%,385,50%,384,50%,384,50%,614,80%,614,80%,65,8%,65,8%,51,7%,51,7%,24,3%,24,3%,9,1%,9,1%,3,0%,3,0%,3,0%,3,0%,,,769,100%,,,0,0%,,,0,0%,"{'Boulder Creek High School': '1 miles', ""Sandra Day O'Connor High School"": '9 miles', 'Cactus Shadows High School': '12 miles', 'Mountain Ridge High School': '12 miles', 'Deer Valley Middle School': '12 miles', 'Hillcrest Middle School': '12 miles', 'Barry Goldwater High School': '12 miles', 'Sonoran Trails Middle School': '13 miles', 'Arrowhead Christian Academy': '13 miles', 'Vista Peak': '13 miles'}"
West-Mec - Boulder Creek High School,Public,Anthem,85086,09 - 12,4,-1:1,"25,615th out of 26,089",594th out of 659,4,100%,238,57%,0,0%,183,43%,3,75%,186,44%,1,25%,182,43%,0,0%,10,2%,0,0%,2,0%,0,0%,29,7%,0,0%,5,1%,0,0%,7,2%,,,421,100%,,,0,0%,,,0,0%,"{'Boulder Creek High School': '1 miles', ""Sandra Day O'Connor High School"": '10 miles', 'Cactus Shadows High School': '12 miles', 'Mountain Ridge High School': '12 miles', 'Hillcrest Middle School': '12 miles', 'Deer Valley Middle School': '12 miles', 'Barry Goldwater High School': '13 miles', 'Mountain Trail Middle School': '13 miles', 'Arrowhead Christian Academy': '14 miles', 'Sonoran Trails Middle School': '14 miles'}"
Agua Fria High School,Public,Avondale,85323,09 - 12,"1,736",18.1:1,"2,423rd out of 26,089",86th out of 659,885,51%,"3,728",49%,851,49%,"3,889",51%,"1,121",65%,"3,507",46%,341,20%,"2,752",36%,193,11%,752,10%,34,2%,255,3%,29,2%,253,3%,13,1%,64,1%,5,0%,34,0%,"1,307",(75%),"6,169",81%,356,(21%),"1,079",14%,73,(4%),369,5%,"{'La Joya Community High School': '3 miles', 'Desert Edge High School': '4 miles', 'Millennium High School': '5 miles', 'Sierra Linda High School': '5 miles', 'Westview High School': '5 miles', 'University High School': '5 miles', 'Tolleson Union High School': '5 miles', 'Copper Canyon High School': '7 miles', 'Trevor Browne High School': '8 miles', 'High-Star Center for Children': '13 miles'}"
Arizona Agribusiness & Equine Center - Estrella,Public,Avondale,85007,09 - 12,480,-1:1,"11,110th out of 26,089",201st out of 659,277,58%,277,58%,203,42%,203,42%,241,50%,241,50%,173,36%,173,36%,34,7%,34,7%,21,4%,21,4%,5,1%,5,1%,5,1%,5,1%,1,0%,1,0%,286,(60%),286,60%,117,(24%),117,24%,77,(16%),77,16%,"{'Millennium High School': '3 miles', 'Westview High School': '3 miles', 'Agua Fria High School': '4 miles', 'La Joya Community High School': '5 miles', 'Desert Edge High School': '5 miles', 'Sierra Linda High School': '5 miles', 'University High School': '6 miles', 'Tolleson Union High School': '6 miles', 'Copper Canyon High School': '6 miles', 'Raymond S. Kellis': '7 miles'}"
E-Institute at Avondale,Public,Avondale,85323,09 - 12,80,-1:1,"21,288th out of 26,089",434th out of 659,48,60%,461,53%,32,40%,401,47%,62,78%,420,49%,9,11%,48,6%,4,5%,27,3%,3,4%,336,39%,2,3%,10,1%,0,0%,2,0%,0,0%,19,2%,42,(53%),296,34%,32,(40%),461,53%,6,(8%),105,12%,"{'Agua Fria High School': '1 miles', 'La Joya Community High School': '3 miles', 'Westview High School': '4 miles', 'Desert Edge High School': '4 miles', 'Sierra Linda High School': '4 miles', 'Millennium High School': '4 miles', 'University High School': '5 miles', 'Tolleson Union High School': '5 miles', 'Copper Canyon High School': '7 miles', 'Trevor Browne High School': '8 miles'}"
Estrella High School,Public,Avondale,85323,09 - 12,258,-1:1,"15,742nd out of 26,089",273rd out of 659,132,51%,132,51%,126,49%,126,49%,188,73%,188,73%,34,13%,34,13%,28,11%,28,11%,4,2%,4,2%,2,1%,2,1%,1,0%,1,0%,1,0%,1,0%,157,(61%),157,61%,89,(34%),89,34%,12,(5%),12,5%,"{'Agua Fria High School': '1 miles', 'La Joya Community High School': '3 miles', 'Desert Edge High School': '3 miles', 'Millennium High School': '5 miles', 'Sierra Linda High School': '5 miles', 'Westview High School': '5 miles', 'University High School': '5 miles', 'Tolleson Union High School': '5 miles', 'Copper Canyon High School': '8 miles', 'Trevor Browne High School': '9 miles'}"
La Joya Community High School,Public,Avondale,85353,09 - 12,"2,226",27.5:1,"1,042nd out of 26,089",37th out of 659,"1,160",52%,"5,841",51%,"1,066",48%,"5,540",49%,"1,651",74%,"8,663",76%,286,13%,"1,077",9%,172,8%,"1,071",9%,45,2%,194,2%,33,1%,219,2%,33,1%,121,1%,6,0%,36,0%,"1,186",(53%),"5,962",52%,818,(37%),"4,403",39%,222,(10%),"1,016",9%,"{'Agua Fria High School': '3 miles', 'University High School': '3 miles', 'Sierra Linda High School': '3 miles', 'Tolleson Union High School': '4 miles', 'Westview High School': '5 miles', 'Desert Edge High School': '6 miles', 'Millennium High School': '7 miles', 'Trevor Browne High School': '7 miles', 'Copper Canyon High School': '7 miles', 'Bourgade Catholic High School': '12 miles'}"
West-Mec - Agua Fria High School,Public,Avondale,85323,09 - 12,3,-1:1,"25,708th out of 26,089",602nd out of 659,2,67%,183,43%,1,33%,238,57%,2,67%,186,44%,1,33%,182,43%,0,0%,10,2%,0,0%,2,0%,0,0%,29,7%,0,0%,5,1%,0,0%,7,2%,,,421,100%,,,0,0%,,,0,0%,"{'Agua Fria High School': '1 miles', 'La Joya Community High School': '3 miles', 'Desert Edge High School': '4 miles', 'Millennium High School': '5 miles', 'Sierra Linda High School': '5 miles', 'Westview High School': '5 miles', 'University High School': '5 miles', 'Tolleson Union High School': '5 miles', 'Copper Canyon High School': '8 miles', 'Trevor Browne High School': '8 miles'}"
West-Mec - La Joya High School,Public,Avondale,85353,09 - 12,5,-1:1,"25,512th out of 26,089",584th out of 659,4,80%,238,57%,1,20%,183,43%,3,60%,186,44%,2,40%,29,7%,0,0%,10,2%,0,0%,2,0%,0,0%,182,43%,0,0%,5,1%,0,0%,7,2%,,,421,100%,,,0,0%,,,0,0%,"{'La Joya Community High School': '1 miles', 'Sierra Linda High School': '3 miles', 'University High School': '3 miles', 'Agua Fria High School': '3 miles', 'Tolleson Union High School': '4 miles', 'Westview High School': '5 miles', 'Desert Edge High School': '6 miles', 'Millennium High School': '7 miles', 'Trevor Browne High School': '7 miles', 'Copper Canyon High School': '7 miles'}"
